Profile-Img,Player,Position,TeamName,Age,Height,Weight,BirthPlace,PreviousClub
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/GABRAEL%2C%20Micheal_NRL_2024_019830.png?center=0.5%2C0.5&preset=player-profile-large,"Michael
Gabrael",Centre,Sharks,19,188,88,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/HYNES%2C%20Nicho_NRL_2024_019681.png?center=0.5%2C0.5&preset=player-profile-large,"Nicholas
Hynes",Halfback,Sharks,28,188,90,"Gosford, NSW",Melbourne Storm
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/PURU%2C%20Niwhai_NRL_2024_019752.png?center=0.5%2C0.5&preset=player-profile-large,"Niwhai
Puru",Halfback,Sharks,22,178,91,"Blacktown, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/MULITALO%2C%20Ronaldo_NRL_2024_019609.png?center=0.5%2C0.5&preset=player-profile-large,"Ronaldo
Mulitalo",Winger,Sharks,24,190,95,"Auckland, NZ",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/STONESTREET%2C%20Samuel_NRL_2024_019995.png?center=0.5%2C0.5&preset=player-profile-large,"Samuel
Stonestreet",Winger,Sharks,22,193,97,"Westmead, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/KATOA%2C%20Sione_NRL_2024_019586.png?center=0.5%2C0.5&preset=player-profile-large,"Sione
Katoa",Winger,Sharks,26,180,88,"Hamilton, NZ",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/TAUKAMO%2C%20Siteni_NRL_2024_020184.png?center=0.5%2C0.5&preset=player-profile-large,"Siteni
Taukamo",Winger,Sharks,19,185,89,-,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/RODWELL%2C%20Tom_NRL_2024_019738.png?center=0.5%2C0.5&preset=player-profile-large,"Tom
Rodwell",Winger,Sharks,,,,,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500028/KENNEDY%2C%20William_NRL_2024_019533.png?center=0.5%2C0.5&preset=player-profile-large,"William
Kennedy",Fullback,Sharks,27,183,88,"Bathurst, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/HAYWARD%2C%20Bailey%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Bailey
Hayward",Halfback,Bulldogs,23,,,-,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/TAAFFE%2C%20Blake%20NRL%202024%20GP00002-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Blake
Taaffe",Halfback,Bulldogs,25,179,85,"Sydney, NSW",South Sydney Rabbitohs
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/WILSON%2C%20Blake%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Blake
Wilson",Fullback,Bulldogs,,,,11,
